projectid,project_name,project_description,entity_name,entity_current_nt_allocation,latitude,longitude,bay_segment,project_type,project_status,initiation_year,estimated_completion_year,discontinued_year,completion_year,project_costs,estimated_load_reduction
930,Pine Island,78 acres of land lying within the Braden River purchased for preservation,Manatee County,Not Listed,27.48875,-82.516219,Manatee River,Non-Point Source,Completed,0.0,0.0,0.0,2003.0,,
931,Parrish Life Estate,"Acquisition of approximately 500 acres contiguous with the north side of Duette Park (i.e., the headwaters of the Manatee River) for preservation and habitat restoration.",Manatee County,Not Listed,27.5563623786,-82.1871522904,Manatee River,Non-Point Source,Completed,2006.0,2006.0,0.0,0.0,,
932,Manatee River Headwaters Wetlands Restoration,Restore and rehydrate approximately 4000 acres of wetlands impacted by historical agricultural operations in the headwaters of the Manatee River near Duette.,Manatee County,Not Listed,27.614645,-82.091439,Manatee River,Non-Point Source,Completed,0.0,0.0,0.0,2005.0,,
934,Hidden Harbour,229 acres of land purchased for preservation.,Manatee County,Not Listed,27.525636,-82.423422,Manatee River,Non-Point Source,Completed,0.0,0.0,0.0,2004.0,,
938,Gulfstream Pipeline Mitigation,Gulfstream Gas Co. purchased the land as part of mitigation for gas pipeline construction activities.  The land will be handed over to the county for management by 2008.,Manatee County,   1M-3M,27.6308553775,-82.4645337425,Middle Tampa Bay,Non-Point Source,Completed,2006.0,2008.0,0.0,2008.0,,
939,Neal Preserve,114 acres of land purchased for preservation,Manatee County,Not Listed,27.492947,-82.685755,Lower Tampa Bay,Non-Point Source,Completed,0.0,0.0,0.0,2005.0,,
940,Duette Land Acquisition,Proposed purchase of 50 acres of former agricultural property for preservation and eventual conversion to uplands habitat.,Manatee County,Not Listed,27.59039,-82.122852,Manatee River,Non-Point Source,Completed,2006.0,2006.0,0.0,0.0,,
941,Future Land Acquisition at Duette Park,Estimated 400 acres of future acquired land for preservation in near Duette Park in Manatee County.,Manatee County,   3M-5M,27.59039,-82.122852,Manatee River,Non-Point Source,Completed,2005.0,2007.0,0.0,2007.0,,
942,Conservatory,50 acres of land purchased for preservation,Manatee County,Not Listed,27.396069,-82.492161,Manatee River,Non-Point Source,Completed,0.0,0.0,0.0,2004.0,,
951,Gladiolus/North Shore Basin Project,Approx. 20 right-of-way easements located between existing residences within the city will be converted to stormwater treatment swales. Culverts connected to the swales will also be outfitted with oil&grease removal best mgmt practices.,Manatee County,Not Listed,27.535131,-82.737666,Lower Tampa Bay,Non-Point Source,Completed,2005.0,2006.0,0.0,0.0,,
952,Grassy Point Project,"City of Holmes Beach purchased 34 acres of undeveloped land through a Fl Trust Communities Grant for preservation.  The land is designed for 'passive recreation' meaning there will be no alterations to the natural communities, other than exotics removal.",Manatee County,Not Listed,27.491669,-82.705239,Lower Tampa Bay,Non-Point Source,Completed,0.0,0.0,0.0,2002.0,,
957,Wares Creek Dredging,"250,000 cubic yards of material to be dredged from Wares Creek.  Material to be used to backfill borrow pits in the Manatee River to restore natural depth contours.",Manatee County,   >10M,27.481496,-82.577983,Manatee River,Non-Point Source,Completed,2006.0,2008.0,0.0,2012.0,,
958,Regatta Point Clean Marina,Regatta Pointe Marina designated the 17th Clean Marina (5th in district) on 6/18/2001,Manatee County,Not Listed,27.510854,-82.575661,Manatee River,Non-Point Source,Completed,0.0,0.0,0.0,2001.0,,
964,Jeff's Cowpen Creek Dredge and Silt Box Project,"This dredge project removed approximately 9,000 cubic yards of dredge materials from Jeffâ€™s Cowpen Creek, a tributary to the Braden River.",Manatee County,Not Listed,27.480652,-82.510416,Manatee River,Non-Point Source,Completed,0.0,0.0,0.0,2003.0,,
966,Aquifer Storage & Recovery - North WWTP,"Installation and use of Aquifer Storage and Recovery wells at the countys North Wastewater Treatment Plant, near 
the Buffalo Canal. The ASR wells will be used for the storage of reclaimed water, which can then be distributed more 
efficiently.",Manatee County,Not Listed,27.571698,-82.478015,Manatee River,Non-Point Source,Completed,2004.0,2010.0,0.0,2010.0,,
974,Reduce Occurrences of Municipal Sewer Overflows to Tampa Bay,The City of Tampa has embarked on several parallel initiatives to reduce the number of wastewater overflows in its system of over 2000 miles of pipe.,City of Tampa,Not Listed,27.8671474492,-82.3578028485,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
996,IMC Agrico Company Termination of Ammonia in Flot Plants - Little Manatee River,Termination of use of ammonia in flot-plants resulting in drop in nitrogen concentrations.,Mosaic,Not Listed,27.662673,-82.215645,Middle Tampa Bay,Non-Point Source,Completed,0.0,0.0,0.0,1995.0,,
997,"Bartow Phosphate Complex, Enhanced Process Water Evaporation, Nutrient Load Prevention -Project-2005",NULL,Mosaic,Not Listed,27.866425,-81.928348,Hillsborough Bay,Non-Point Source,Completed,2005.0,0.0,0.0,2005.0,,
1000,"Hillgrove and Stearns Stormwater Facilities, Phase I-Alafia River","a cascading wet detention system with other (BMPs) including: construction of a stormwater collection system starting at a connecting point on Stearns Road, diverting partial flows from Stearns Creek to the projectâ€™s treatment system.",Hillsborough County,Not Listed,27.89003,-82.239398,Hillsborough Bay,Non-Point Source,Completed,2006.0,2011.0,0.0,2011.0,,
1001,C2 Transfer Point Enclosure,"A new expanded enclosure to house the 
entire â€œfootprintâ€ of the conveyor belt 
at the C2/C3 transfer point.",Eastern Terminals,   5-25 K,27.918834,-82.41985,Hillsborough Bay,Non-Point Source,Completed,2006.0,2007.0,0.0,0.0,,
1003,"Bartow Phosphate Complex, Enhanced Process Water Evatoration, Nutrient Load Prevention Project",Same as ID# 848; just different time period,Mosaic,Not Listed,27.866425,-81.928348,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2006.0,,
1006,Tangerine Greenway Project,Dry detention area with skimmers on the outfall structures - part of the Lake Tomlinson improvements. Design is about 70% complete.,City of Gulfport,Not Listed,27.752069,-82.704271,Boca Ciega Bay,Non-Point Source,Completed,2007.0,2010.0,0.0,2010.0,,
1007,Clam Bayou Stormwater Treatment North ,The project drainage basin is 700 ac. and includes the 90 ac. drainage from the Clam Bayou Borrow Pit Retrofit (Project ID 99).  An additional 610 ac. of drainage will be routed to the borrow pit for treatment. Design of project is 60% complete.,SWFWMD,Not Listed,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Completed,0.0,2008.0,0.0,2012.0,,
1008,Clam Bayou Stormwater Treatment South ,Project is 60% complete. Additional details from SWFWMD to follow,SWFWMD,Not Listed,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Completed,0.0,2008.0,0.0,2012.0,,
1011,Five-Year Stormwater Capital Improvement Program,List of Citys stormwater capital improvement projects and cost for years 2006-2010.,City of Tampa,Not Listed,27.8671474492,-82.3578028485,Old Tampa Bay,Non-Point Source,Completed,2006.0,2010.0,0.0,2010.0,,
1012,Cabbage Patch Point,"Project area is southern end of Bayside Bridge. Includes restoration of seagrass beds, tidal swamp, mesic flatwoods, eradication of invasive plants and planting of native plants.",City of Largo,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2005.0,0.0,0.0,2007.0,,
1014,Willow/Gulf Dr./Pine Ave.,Approx. 20 right-of-way easements located between existing residences within the city will be converted to stormwater treatement swales.  Culverts connected to the swales will also be outfitted with oil&grease removal BMPs.,City of Anna Maria,Not Listed,27.52693,-82.734094,Manatee River,Non-Point Source,Completed,2006.0,2007.0,0.0,2007.0,,
1015,Buffalo Canal Watershed Management Program,The watershed occupies approx. 18.8 square miles within Manatee County discharging into Terra Ceia Bay.,Manatee County,Not Listed,27.504968,-82.356166,Terra Ceia Bay,Non-Point Source,Completed,2005.0,2008.0,0.0,2008.0,,
1016,Gamble Creek Watershed Management Program,Gamble Creek occupies approx. 56 square miles within Manatee County and discharges into the Manatee River.,Manatee County,Not Listed,27.504968,-82.356166,Manatee River,Non-Point Source,Completed,2005.0,2008.0,0.0,2008.0,,
1018,Hurley Tailwater Pond,"Project converted 3 agricultural ponds to accept tailwater from row crop land that was impacting highway. Ponds capture, treat and reuse the tailwater for irrigation. Overflow from treatment train leads to Bullfrog Creek.",Hillsborough County,Not Listed,27.768576,-82.267185,Hillsborough Bay,Non-Point Source,Completed,2006.0,0.0,0.0,2006.0,,
1019,Lake Meade Water Quality Improvement,Project to improve water quality and flood protection in a relic sinkhole and surrounding ponds.,Hillsborough County,Not Listed,27.947417,-82.29465,Hillsborough Bay,Non-Point Source,Completed,2006.0,2011.0,0.0,2011.0,,
1021,Fairwood Forest Channel Improvements,"This project included the installation of 
gabions within the ditch behind Fairwood Dr. 
and near Fairwood Ave. The total distance of 
this proejct was approx. 1750 linear feet.",City of Clearwater,   1M-3M,27.972052,-82.723811,Old Tampa Bay,Non-Point Source,Completed,2003.0,2009.0,0.0,2009.0,,
1023,Bayview Park,"Removal of a mobile home park, turning site 
into an educational passive park. Park 
includes restoration of native habitats 
including salt marsh at the edge of the bay. 
Mobile home park removed was approx. 8 
acres.",City of Clearwater,500K-1M,27.960191,-82.709688,Old Tampa Bay,Non-Point Source,Completed,2006.0,0.0,0.0,2008.0,,
1030,Lucymar Subdivision Drainage Improvements,"The proposed improvements include evaluation, redesign and reconstruction of the drainage system within the Lucymar subdivision.",City of Largo,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Planned,2012.0,2013.0,2012.0,0.0,,
1031,Unpaved Alleys Sediment and Erosion Control,This project will examine alternatives to paving including pervious pavements and other treatments to stabilize the allies as well as sediment traps capture eroded sediment.,City of Largo,Not Listed,27.8671474492,-82.3578028485,Old Tampa Bay,Non-Point Source,Completed,2009.0,2010.0,0.0,2010.0,,
1045,Stormwater Monitoring System,"The Streets and Drainage Division of the Public Works Department installed a wireless radio frequency based stormwater management database system to record rainfall events, DO levels and water level data in the Cityâ€™s stormwater system.",City of Largo,Not Listed,27.826351,-82.752508,Boca Ciega Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
1046,McKay Creek Drainage Improvements,"The improvements will eliminate flooding and erosion that occurs within the basin. McKay Creek had very poor bank stabilization, which caused significant sediment erosion to private property.",City of Largo,Not Listed,27.883315,-82.810135,Not Listed,Non-Point Source,Completed,2004.0,0.0,0.0,2007.0,,
1051,Alcove Subdivision Creek Restoration,"This project involves evaluation, design, and reconstruction of the creek channel that begins on the south side of Edna Street and ends at an outfall pipe that traverses under the West Bay Drive RV Park.",City of Largo,Not Listed,27.8671474492,-82.3578028485,Old Tampa Bay,Non-Point Source,Completed,2011.0,2013.0,0.0,2013.0,,
1052,Long Branch Creek Drainage Basin Improvements,"The boundary of the Long Branch Drainage Basin is approximately Belcher Road on the west, 142nd Avenue on the south, 58th Street on the east, and Haines Bayshore Road on the north. DUPLICATE of Pinellas Co # 72??",City of Largo,Not Listed,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2009.0,2009.0,0.0,2009.0,,
1054,North Dale Mabry Highway Stormwater Retrofit & Wetland Restoration,"The FDOT owned 11 acre site is located on block south of Waters Ave. on the west side of N. Dale Mabry and abuts Channel ""H"" of Sweetwater Creek. The objective of the project is to remove nuisance vegetation, restore wetland hydroperiods, and provide wate",FDOT,500K-1M,28.012172,-82.609611,Old Tampa Bay,Non-Point Source,Completed,2005.0,2012.0,0.0,2012.0,,
1056,River Tower Stormwater Retrofit,Currently under design,FDOT,Not Listed,28.021363,-82.457406,Hillsborough Bay,Non-Point Source,Completed,2012.0,2020.0,0.0,2020.0,,
1060,Lakeland Water to TECO,"Construct pipeline, pump station, and treatment plant for beneficial reuse of Lakeland treated wastewater at the Tampa Electric Company Polk Power Station to reduce groundwater pumping and divert nutrient loading from the Alafia River and Tampa Bay.",City of Lakeland,  50-100 K,27.901735,-81.943564,Hillsborough Bay,Non-Point Source,Completed,2008.0,2015.0,0.0,2015.0,,10.926
1062,"City of Plant City, Reuse at CF Industries-Plant City Facility","Upgrade of the Citys Wastewater Treatment Plant to meet FDEP Part III Public Access Reuse standards, and 
construction of a pipeline from treatment facility to CF Industries-Plant City complex. Project provided for the 
use of approximately 2 MGD of reclaimed water in CFIs industrial process. This water  had historically been 
discharged to surface waters tributary to the Hillsborough River watershed. This reuse project resulted in a net 
reduction of approximately 2 MGD with an average total nitrogen concentration of about 2.5mg/L, for a total 
nitrogen reduction of approximately 42#/day, 15,200 #/year, or 7.6 tons per year.",City of Plant City,   >10M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,1997.0,2017.0,1997.0,,5.0
1063,"City of Plant City, Existing Reuse by Reclaimed Water Irrigation","Following upgrade of the Citys Wastewater Treatment Plant to meet FDEP Part III public access reuse standards 
in 1997, the City has continuously added new reclaimed water customers and constructed new distribution 
pipelines. Total Annual Average reclaimed water use among these individual existing customers is approximately 
0.5 MGD. This water  had historically been discharged to surface waters tributary to the Hillsborough River 
watershed. These reuse projects result in a net reduction of approximately 0.5 MGD with an average total 
nitrogen concentration of about 2.5mg/L, for a total nitrogen reduction of approximately 10.5#/day, 3,800 
#/year, or 1.9 tons per year. Funding of the connections to three agricultural sites was partially provided 
through a SWFWMD grant in 1997. Funding of the irrigation of the FDOT I-4 Interchanges was partially provided 
by FDOT.",City of Plant City,500K-1M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,2007.0,2007.0,0.0,2007.0,,0.323
1064,"City of Plant City, Reclaimed Water Irrigation at City Parks","In 2008 the city completed construction of a 3 mile long reclaimed water main which will provide reclaimed 
water service to existing and proposed customers on the east side of the City.The City is currently in the 
process of converting existing irrigation systems at three City parks from potable sypply to reclaimed water 
supply. Total Annual Average reclaimed water use among these three parks is estimated at approximately 0.25 
MGD. This water  had historically been discharged to surface waters tributary to the Hillsborough River 
watershed. These reuse projects result in a net reduction of approximately 0.25 MGD with an average total 
nitrogen concentration of about 2.5mg/L, for a total nitrogen reduction of approximately 5.2#/day, 1,900 
#/year, or 1.0 tons per year. Funding of the reclaimed water main and conversion of the sites to utilize 
reclaimed water was provided by the City.",City of Plant City,   3M-5M,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,2006.0,2009.0,0.0,2009.0,,0.08
1065,City of Plant City proposed reuse by reclaimed water irrigation at Walden Lake Golf course,"The golf course irrigation system will be converted from surface water and groundwater supply to reclaimed. 
The City is preparing to design and construct a 2.5 mile long reclaimed water main which will provide reclaimed 
water service to existing and proposed customers on the southwest side of the City. The initial customer served 
by the project will be the Walden Lake Golf course. The Golf Course irrigation system will be converted from 
surface water and grounswater sypply to reclaimed water supply. Total Annual Average reclaimed water use at 
this site is estimated at approximately 0.375 MGD. This water  had historically been discharged to surface 
waters tributary to the Hillsborough River watershed. This reuse project results in a net reduction of 
approximately 0.375 MGD with an average total nitrogen concentration of about 2.5mg/L, for a total nitrogen 
reduction of approximately 7.8#/day, 2,850 #/year, or 1.4 tons per year. Funding of the reclaimed water main 
will be provided by the City and by grants from the SWFWMD and the FDEP..",City of Plant City,   3M-5M,27.988027,-82.155848,Hillsborough Bay,Non-Point Source,Completed,2009.0,2012.0,2016.0,2012.0,,0.526
1067,Tampa Bay Regional Surface Water Treatment Plant Expansion (Alafia River),"Update for 2012-2016 period:
Tampa Bay Waters Regional Surface Water Treatment Plant withdraws and treats water from the Alafia River and the Tampa Bypass Canal (includes diversions from the Hillsborough River under high flow conditions). Expansion of this facility to provide increased drinking water treatment capacity was completed in 2011. Expansion of this facility to provide additional drinking water for the Tampa Bay region has also substantially reduced loadings of total nitrogen to the Hillsborough Bay segment of Tampa Bay. A separate Action Plan project (ID#461) addresses Alafia River withdrawal-related total nitrogen load reductions for the 2003-2007 period prior to expansion of the Regional Surface Water Treatment Plant.

Total Nitrogen (TN) Load Reductions- Tampa Bay Regional Surface Water Treatment Plant (Alafia River):
-2012-2016 TN Reductions: 47,880 lbs/yr (annual average, Table 2)
-Previous 2007-2011 TN Reductions: 61,293 lbs/y (annual average)
-Estimated future TN Reductions: 38,812 lbs/yr (based on minimum production requirements for Alafia River facility, Table 3)
",Tampa Bay Water,Not Listed,27.857194,-82.268657,Hillsborough Bay,Non-Point Source,Completed,2008.0,2011.0,0.0,2016.0,,
1068,Hillsborough County Pet Waste Campaign,"In order to develop a successful pet waste 
education program, the County desires to 
receive input from the public on their views 
and existing habits with their pets.",Hillsborough County,Not Listed,27.8671474492,-82.3578028485,All Segments,Non-Point Source,Completed,0.0,0.0,2009.0,2009.0,,
1069,Tampa Bay Water Regional Surface Water Treatment Plant (TBC/Hillsborough River),NULL,Tampa Bay Water,Not Listed,27.960793698,-82.345007658,Hillsborough Bay,Non-Point Source,Completed,1999.0,2003.0,0.0,2003.0,,
1076,Tampa Bay Water Regional Surface Water Treatment Plant,NULL,Tampa Bay Water,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Planned,0.0,0.0,2009.0,0.0,,
1077,Tampa Bay Water Regional Surface Water Treatment Plant,NULL,Tampa Bay Water,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Planned,0.0,0.0,2009.0,0.0,,
1078,Tampa Bay Regional Surface Water Treatment Plant Expansion (TBC/Hillsborough River),"Update for 2012-2016 Period:

Tampa Bay Waters Regional Surface Water Treatment Plant withdraws and treats water from the Alafia River and the Tampa Bypass Canal (includes diversions from the Hillsborough River under high flow conditions). Expansion of this facility to provide increased drinking water treatment capacity was completed in 2011. Expansion of this facility to provide additional drinking water for the Tampa Bay region has also substantially reduced loadings of total nitrogen to the Hillsborough Bay segment of Tampa Bay. A separate Action Plan project (ID#1069) addresses TBC/Hillsborough River withdrawal-related total nitrogen load reductions for the 2003-2007 period prior to expansion of the Regional Surface Water Treatment Plant.

Total Nitrogen (TN) Load Reductions- Tampa Bay Regional Surface Water Treatment Plant (TBC/Hillsborough River)
-2012-2016 TN Reductions: 121,438 lbs/yr (annual average, Table 2)
-Previous 2007-2011 TN Reductions: 78,456 lbs/yr (annual average)
-Estimated future TN Reductions: 40,537 lbs/yr (based on minimum production requirements for TBC/Hillsborough River facility, Table 3)",Tampa Bay Water,Not Listed,27.982428,-82.352551,Hillsborough Bay,Non-Point Source,Completed,2008.0,2021.0,0.0,2016.0,,
1079,Tampa Bay Regional Surface Water Treatment Plant Expansion,same as ID 1078 - different basin,Tampa Bay Water,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Planned,2008.0,2010.0,2009.0,0.0,,
1080,Facility Improvements,NULL,Eastern Terminals,  50-100 K,27.8671474492,-82.3578028485,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,2008.0,,
1082,Septic Tank Abandonment or Connection to Sanitary Sewer,Identification & quantification of nutrient reductions achieved by eliminating septic tanks in the City of Lakeland and surrounding areas.,City of Lakeland,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Planned,0.0,0.0,0.0,0.0,,
1083,Robles Park Water Quality and Natural Systems Improvement,Shoreline planting and stablilization of pond.,SWFWMD,Not Listed,27.8671474492,-82.3578028485,Hillsborough Bay,Non-Point Source,Completed,0.0,2012.0,0.0,2016.0,,
1159,Illicit Discharge Complaint Investigations,Illicit discharge investigations are a part of our NPDES Permit requirments in which we investigate and perform corrective actions on any illicit discharges affecting our MS4. ,Polk County,Not Listed,27.9531648907,-81.915435791,Hillsborough Bay,Non-Point Source,Ongoing,1993.0,0.0,0.0,0.0,,
1160,Creative Drive Outfall Project,"3,138ft drainage ditch (occupying 2760 acres) in
South Lakeland. Drains to WBID 1583 (Poley Creek).
Project entailed stabilization of ditch with
concrete rip-rap to improve hydraulic function.",Polk County, 100-250 K,27.96387,-81.968871,Hillsborough Bay,Non-Point Source,Completed,2005.0,2006.0,0.0,2006.0,,
1164,Dog Waste Signs,"Ongoing program that involves the installation of signs that say, ""Dog Waste Transmits Disease and Contaminates our 
Water: Leash and Pick Up After Your Dog"" in public areas where dog waste has become a notable problem.

This project is implemented in all WBIDs within the City limits.",City of Plant City,   < 5 K,28.0107703621,-82.1248626709,Hillsborough Bay,Non-Point Source,Ongoing,2008.0,2010.0,0.0,0.0,,
1165,BRASWA,SWRA for Braden River watershed.,Manatee County, 250-500 K,27.414891,-82.463792,Manatee River,Non-Point Source,Completed,2007.0,2012.0,0.0,2012.0,,
1166,201032-2 - I-75 at SR 70 Interchange,"FPID 201032-2 will improve the I-75 and SR 70 
interchange in Manatee County including 
stormwater treatment facilities.",FDOT,   >10M,27.44,-82.46,Manatee River,Non-Point Source,Planned,2012.0,2020.0,0.0,0.0,,
1179,Reclaimed Water Reservoir Floating Wetland Island,"Today, approximately 30 percent of the 
reclaimed water produced by the County is 
reused in the Hillsborough Bay drainage 
basin. This basin also represents the area 
where most of the future growth in reclaimed 
water customers is projected. Howeve",Pasco County, 250-500 K,28.248678,-82.267285,Hillsborough Bay,Non-Point Source,Planned,2013.0,2014.0,0.0,0.0,,
1182,Agricultural BMPs,NULL,FDEP/FDACS,Not Listed,27.8487904599,-81.909942627,Hillsborough Bay,Non-Point Source,Completed,2006.0,2012.0,0.0,2012.0,,
1184,Agricultural BMPs,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",FDEP/FDACS,Not Listed,27.8487904599,-81.909942627,Hillsborough Bay,Non-Point Source,Completed,2008.0,2012.0,0.0,2012.0,,
1186,New River Bacteria Source Assessment,"Bacteria source tracking study results in the New
River subbasin of the Hillsborough River watershed.",Pasco County,  50-100 K,28.1861253872,-82.2649383545,Hillsborough Bay,Non-Point Source,Completed,2010.0,2011.0,0.0,2011.0,,
1187,Agricultural BMPs,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",FDEP/FDACS,Not Listed,27.732161,-82.040405,Hillsborough Bay,Non-Point Source,Ongoing,2008.0,0.0,0.0,0.0,,
1189,Agicultural BMPs,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",FDEP/FDACS,Not Listed,27.732161,-82.040405,Hillsborough Bay,Non-Point Source,Ongoing,2008.0,0.0,0.0,0.0,,
1190,Agricultural BMPs,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",FDEP/FDACS,Not Listed,27.732161,-82.040405,Hillsborough Bay,Non-Point Source,Ongoing,2008.0,0.0,0.0,0.0,,
1192,Agricultural BMPs,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",FDEP/FDACS,Not Listed,27.751608,-82.054138,Hillsborough Bay,Non-Point Source,Planned,2008.0,0.0,0.0,0.0,,
1193,Agricultural BMPs,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",FDEP/FDACS,Not Listed,27.535065,-82.345276,Manatee River,Non-Point Source,Planned,2008.0,0.0,0.0,0.0,,
1194,Agricultural BMPs,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",FDEP/FDACS,Not Listed,27.481471,-82.41394,Manatee River,Non-Point Source,Planned,2008.0,0.0,0.0,0.0,,
1197,TBEP Test July 2012 Test 3,NULL,TBEP,,0.0,0.0,Hillsborough Bay,Non-Point Source,Unknown,0.0,0.0,0.0,0.0,,
1201,Robles Park Stormwater Improvements,"This is a SWFWMD-initiative project with 
funding assistance from the City and FDOT.  
The ultimate goal of the project is to construct 
stormwater improvements that will provide 
stormwater treatment and pollutant removal 
from approximately 180 acr",City of Tampa,   1M-3M,27.973436,-82.454922,Hillsborough Bay,Non-Point Source,Planned,2010.0,2013.0,0.0,0.0,,
1204,Rivergarden Park Sediment Traps,Installation of two hydrodynamic separators at RiverGarden Park (Kathleen/Rome and Aileen/Rome).  Total treated area is approximately 6.8 acres.,City of Tampa,  50-100 K,27.973438,-82.4806909,Hillsborough Bay,Non-Point Source,Completed,2006.0,2007.0,0.0,2007.0,,
1205,Westshore Ditch Bottom Sumps,Installation of three 2.96 cu yd capacity ditch bottom sumps.  Woodmere ditch; Sherrill Street; and Dundee Blvd @ bridge.    Total combined treated area is 189 acres.,City of Tampa,,27.87083871,-82.53096503,Old Tampa Bay,Non-Point Source,Completed,2003.0,2004.0,0.0,2004.0,"$58,815.00",
1206,Sediment Trap:  30th and Corrine,Installation of a sediment trap at 2826 Corrinne St.  Total 18 treated acres.,City of Tampa,   5-25 K,27.9490062,-82.42654093,Hillsborough Bay,Non-Point Source,Completed,1998.0,1998.0,0.0,1998.0,,
1207,Sediment Trap:  46th and Riverhills,"Installation of a hydrodynamic separator unit.  
Total treated acres is 9.1 acres.",City of Tampa,,28.02199831,-82.41004183,Hillsborough Bay,Non-Point Source,Completed,2008.0,2008.0,0.0,2008.0,"$348,000.00",
1208,Sediment Trap:  Spring Lake,"Installation of three Stormceptor units.  5015, 
5005, and 4901 Spring Lake Drive.  Total treated 
area is 18.5 acres.  ",City of Tampa,,27.91389095,-82.52669924,Old Tampa Bay,Non-Point Source,Completed,2005.0,2005.0,0.0,2005.0,"$175,000.00",
1209,Sediment Trap:  Epps Park,"Installation of three Stormceptor units at Epps 
Park.  Total treated area is approximately 10 
acres.",City of Tampa,,28.00727349,-82.46417885,Hillsborough Bay,Non-Point Source,Completed,2003.0,2003.0,0.0,2003.0,"$120,000.00",
1210,Sediment Trap:  North Street Outfall,"Installation of 5 Stormceptor units.  Total treated 
area is approximately 12.8 acres.",City of Tampa,,28.00542371,-82.4648599,Hillsborough Bay,Non-Point Source,Completed,2003.0,2003.0,0.0,2003.0,"$207,000.00",
1211,Sediment Trap:  Neptune Way Canal,"Installation of three Stormceptor units along 
Neptune Way canal.  Total treated area is 
approximately 11 acres.",City of Tampa,,27.94135476,-82.52529097,Old Tampa Bay,Non-Point Source,Completed,2003.0,2003.0,0.0,2003.0,"$76,000.00",
1212,Sediment Trap:  Lake Kipling Project #1,"Installation of multiple Stormceptor units 
treating stormwater flow into Lake Kipling 
and/or the Dundee Canal.  7 total units were 
installed along Sunset Boulevard or Dundee 
Street.  Total treated acres for all units is 42 
acres.",City of Tampa,,27.92164991,-82.52332531,Old Tampa Bay,Non-Point Source,Completed,2003.0,2005.0,0.0,2005.0,"$355,000.00",
1213,Sediment Trap:  Lake Roberta Downstream Defender unit,"Installation of an offline Downstream Defender 
unit on the west side of Lake Roberta.  Unit 
treats flow from first flush events.  Total 
treated acres is 6.94 acres.",City of Tampa,,28.00057518,-82.45089214,Hillsborough Bay,Non-Point Source,Completed,2005.0,2005.0,0.0,2005.0,"$146,000.00",
1214,Sediment Trap:  Marjorie Park Marina,"Installation of a 660 gallon sediment trap treating 
2.5 acres of stormwater flow into the Marjorie 
Park Yacht Basin.",City of Tampa,  25-50 K,27.92984072,-82.45563837,Hillsborough Bay,Non-Point Source,Completed,2005.0,2005.0,0.0,2005.0,,
1215,Sediment Trap:  West Tampa,"Installation of a 8' inside-diameter Contech 
sediment trap at 2505 Habana Avenue.  Treated 
area is approximately 3.5 acres.",City of Tampa,,27.97661666,-82.48889106,Hillsborough Bay,Non-Point Source,Completed,2005.0,2005.0,0.0,2005.0,"$278,000.00",
1216,Sediment Trap:  Columbus at Riverside S,"Installation of a Stormceptor unit on the 
southeast side of the Hillsborough River at 
Columbus Dr.  Total treated area is 2.3 acres.",City of Tampa,,27.96536341,-82.47430521,Hillsborough Bay,Non-Point Source,Completed,2007.0,2007.0,0.0,2007.0,"$119,000.00",
